52.8488 1.2439 7.6
1 0 0
8.3237 6.71965 7.6
0 -1 0
34.278399 45.958352 7.6
0 -1 0
7.7547 32.4498 7.6
-1 0 0
7.7547 25.1648 7.6
-1 0 0
7.7547 19.0498 7.6
-1 0 0
7.7547 33.7648 7.6
-1 0 0
7.7547 7.78005 7.6
-1 0 0
7.7547 17.78005 7.6
-1 0 0
30.5146 44.821102 7.6
0 1 0
24.0996 44.821102 7.6
0 1 0
11.0501 44.821102 7.6
0 1 0
7.88545 44.821102 7.6
0 1 0
25.4146 44.821102 7.6
0 1 0
18.44555 44.959602 7.6
0 -1 0
12.8562 7.7039 7.6
0 -1 0
14.1712 7.7039 7.6
0 -1 0
32.03305 7.7039 7.6
0 -1 0
23.4638 7.7039 7.6
0 -1 0
38.71805 7.7039 7.6
0 -1 0
40.03305 7.7039 7.6
0 -1 0
44.71805 7.7039 7.6
0 -1 0
46.03305 7.7039 7.6
0 -1 0
52.71805 7.7039 7.6
0 -1 0
62.531578 7.7039 7.6
0 -1 0
63.439078 6.71965 7.6
0 -1 0
21.7488 5.3889 7.6
0 -1 0
17.4862 5.3889 7.6
0 -1 0
1.3197 40.265351 7.6
0 -1 0
1.5197 8.9648 7.6
0 -1 0
1.78545 28.03405 7.6
0 -1 0
18.6646 45.112602 3.8
0 -1 0
8.588017 40.308601 3.8
0 -1 0
7.7547 11.09555 3.8
-1 0 0
7.7547 23.8498 3.8
-1 0 0
7.7547 25.1648 3.8
-1 0 0
7.7547 32.1498 3.8
-1 0 0
7.7547 9.40465 3.8
-1 0 0
20.0996 47.174102 3.8
0 1 0
14.146501 47.174102 3.8
0 1 0
21.28385 49.693352 3.8
-1 0 0
25.2996 44.974102 3.8
0 1 0
63.439078 6.71965 3.8
0 -1 0
60.03305 7.7039 3.8
0 -1 0
50.11805 7.7039 3.8
0 -1 0
58.71805 7.7039 3.8
0 -1 0
46.03305 7.7039 3.8
0 -1 0
44.71805 7.7039 3.8
0 -1 0
40.71805 7.7039 3.8
0 -1 0
32.03305 7.7039 3.8
0 -1 0
23.2638 7.7039 3.8
0 -1 0
7.48545 40.377851 3.8
0 -1 0
17.4862 5.3889 3.8
0 -1 0
21.7488 5.3889 3.8
0 -1 0
7.68545 44.359477 3.8
-1 0 0
8.3237 6.71965 3.8
0 -1 0
30.5146 44.821102 3.8
0 1 0
12.8562 7.7039 3.8
0 -1 0
14.1712 7.7039 3.8
0 -1 0
29.2146 47.174102 3.8
0 1 0
28.0996 47.174102 3.8
0 1 0
34.278399 45.958352 3.8
0 -1 0
65.571578 6.51965 0
1 0 0
18.960345 21.945601 0
0 -1 0
0.1862 28.551 0
0 1 0
17.49385 52.109102 0
-1 0 0
5.1162 39.794 0
-1 0 0
5.1162 37.914 0
-1 0 0
30.5146 44.821102 0
0 1 0
23.1096 44.821102 0
0 1 0
29.3996 44.821102 0
0 1 0
24.4296 44.821102 0
0 1 0
20.3171 47.174102 0
0 1 0
30.3146 50.593352 0
0 -1 0
30.34535 48.258352 0
1 0 0
12.8562 7.7039 0
0 -1 0
14.1712 7.7039 0
0 -1 0
36.410899 47.167901 0
1 0 0
8.3237 6.71965 0
0 -1 0
17.4862 5.3889 0
0 -1 0
21.7488 5.3889 0
0 -1 0
63.439078 6.71965 0
0 -1 0
58.03305 7.7039 0
0 -1 0
56.71805 7.7039 0
0 -1 0
52.03305 7.7039 0
0 -1 0
32.71805 7.7039 0
0 -1 0
23.3638 7.7039 0
0 -1 0
50.71805 7.7039 0
0 -1 0
40.03305 7.7039 0
0 -1 0
38.71805 7.7039 0
0 -1 0
34.03305 7.7039 0
0 -1 0
2.17395 25.0648 0
-1 0 0
6.735129 26.7948 0
1 0 0
7.7547 15.09555 0
-1 0 0
7.7547 19.09555 0
-1 0 0
7.7547 12.86555 0
-1 0 0
11.908836 44.890352 0
0 -1 0
34.278399 45.958352 0
0 -1 0
7.68545 39.794 0
-1 0 0
7.68545 37.914 0
-1 0 0
-107.474273995904 9.753599609375 53.3988604949382
